brand,market_share_pct,us_canada_parts_content_avg_pct,imported_parts_content_proxy_avg_pct,aala_carlines_count
Ford,13,36,64,13
Toyota,13,25.7,74.3,29
Chevrolet,11,33.7,66.3,15
Honda,8,55.8,44.2,32
Hyundai,5,14.5,85.5,22
Kia,5,18.9,81.1,21
Nissan,5,22.9,77.1,14
GMC,4,40.6,59.4,8
Jeep,4,58.4,41.6,8
Subaru,4,22.8,77.2,9
Mazda,3,11.8,88.2,11
Ram,3,55,45,1
Tesla,3,68.9,31.1,9
BMW,2,6.4,93.6,30
Lexus,2,17.5,82.5,24
Mercedes-Benz,2,3.3,96.7,43
VW,2,32.1,67.9,16
Acura,1,57.1,42.9,17
Audi,1,1.1,98.9,52
Buick,1,10.5,89.5,4
Cadillac,1,31.5,68.5,10
Chrysler,1,13.8,86.2,5
Dodge,1,38.3,61.7,3
Genesis,1,6.6,93.4,9
Lincoln,1,32.2,67.8,5
Mitsubishi,1,1.2,98.8,26
Volvo,1,4.4,95.6,16
