,Brand,Q4_2025_units,Q4_2024_units,YTD_2025_units,YTD_2024_units,YTD_YoY_pct
0,Acura,34150,35243,1.0,132267,1.878019461
1,Alfa Romeo,875,2039,0.0,8868,-36.23139378
2,Audi,36231,56900,1.0,197035,-16.28441647
3,Bentley,0,0,0.0,0,
4,BMW,113510,116511,2.0,370360,4.599038773
5,Buick,31260,46185,1.0,183365,2.580099801
6,Cadillac,40886,49085,1.0,160199,9.126773575
7,Chevrolet,445262,479768,11.0,1740403,4.542281299
8,Chrysler,35641,27629,1.0,124686,1.35941485
9,Dodge,28328,22434,1.0,141729,-28.09163968
10,Fiat,84,743,0.0,1530,-13.66013072
11,Ford,514324,497092,13.0,2140185,-2.493896556
12,Genesis,23501,23065,1.0,74930,8.12358201
13,GMC,171635,178649,4.0,612397,6.802286752
14,Honda,298428,332119,8.0,1291490,0.43778891
15,Hyundai,174829,212998,5.0,823492,3.604892337
16,INEOS,0,1800,0.0,2700,-100.0
17,Infiniti,14203,15503,0.0,58069,-8.994472094
18,Jaguar,0,2800,0.0,11563,-51.88099974
19,Jeep,143673,138574,4.0,587722,1.005747615
20,Kia,232567,212318,5.0,793578,9.468130417
21,Lamborghini,0,0,0.0,0,
22,Land Rover,0,27998,0.0,87714,-10.50459448
23,Lexus,98685,97469,2.0,345672,3.582297669
24,Lincoln,28045,30293,1.0,112425,-4.942850789
25,Lucid,0,1150,0.0,3449,36.27138301
26,Mazda,90680,110930,3.0,424382,-3.307868854
27,Mercedes-Benz,67616,94723,2.0,375982,-24.27749201
28,Mini,6011,8750,0.0,26273,6.09370837
29,Mitsubishi,21355,27125,1.0,109847,-13.74184092
30,Nissan,200050,207067,5.0,860018,0.899981163
31,Polestar,0,1776,0.0,13079,-76.86367459
32,Porsche,19123,22084,0.0,74393,-10.00228516
33,Ram,123969,129320,3.0,439037,-0.374683683
34,Rivian,0,8502,0.0,54523,-44.33358399
35,Rolls Royce,0,0,0.0,0,
36,Seat,0,0,0.0,0,
37,Subaru,160554,174113,4.0,667725,-3.6143622
38,Tesla,140001,151900,3.0,516597,5.4016961
39,Toyota,552470,505633,13.0,1986934,8.144709386
40,VinFast,0,0,0.0,0,
41,Volkswagen,82796,105002,2.0,378332,-12.29819312
42,Volvo,30928,35696,1.0,127145,-5.074521216
43,Total,3961670,4190986,100.0,16060095,0.772772515
