Model Year,BD,CNG,E85_GSLN,ELEC,HYBR,PHEV,Other
2000-01-01,0.0,38.46153846153847,20.51282051282051,30.76923076923077,5.128205128205128,0.0,5.128205128205128
2001-01-01,0.0,36.36363636363637,25.0,22.727272727272727,4.545454545454546,0.0,11.363636363636363
2002-01-01,0.0,37.5,33.33333333333333,12.5,6.25,0.0,10.416666666666668
2003-01-01,0.0,34.04255319148936,46.808510638297875,10.638297872340425,6.382978723404255,0.0,2.127659574468085
2004-01-01,0.0,40.0,47.5,2.5,7.5,0.0,2.5
2005-01-01,0.0,13.513513513513514,64.86486486486487,0.0,21.62162162162162,0.0,0.0
2006-01-01,0.0,11.11111111111111,61.111111111111114,0.0,27.77777777777778,0.0,0.0
2007-01-01,0.0,2.1739130434782608,67.3913043478261,0.0,28.26086956521739,0.0,2.1739130434782608
2008-01-01,0.0,2.0,62.0,0.0,32.0,0.0,4.0
2009-01-01,0.0,1.694915254237288,61.016949152542374,1.694915254237288,32.20338983050847,0.0,3.389830508474576
2010-01-01,0.0,3.508771929824561,59.64912280701754,1.7543859649122806,35.08771929824561,0.0,0.0
2011-01-01,0.0,2.564102564102564,64.1025641025641,3.418803418803419,27.350427350427353,0.8547008547008548,1.7094017094017095
2012-01-01,6.504065040650407,4.0650406504065035,50.40650406504065,7.317073170731707,25.203252032520325,2.4390243902439024,4.0650406504065035
2013-01-01,4.938271604938271,2.4691358024691357,51.85185185185185,6.172839506172839,23.456790123456788,2.4691358024691357,8.641975308641975
2014-01-01,5.641025641025641,2.051282051282051,46.15384615384615,6.666666666666667,18.461538461538463,5.128205128205128,15.897435897435896
2015-01-01,8.854166666666668,6.770833333333333,43.75,5.729166666666666,18.229166666666664,7.291666666666667,9.375
2016-01-01,7.59493670886076,7.59493670886076,41.77215189873418,8.227848101265822,19.62025316455696,10.126582278481013,5.063291139240507
2017-01-01,11.475409836065573,4.918032786885246,24.59016393442623,16.39344262295082,24.043715846994534,13.114754098360656,5.46448087431694
2018-01-01,16.176470588235293,4.411764705882353,25.98039215686275,10.784313725490197,21.07843137254902,17.15686274509804,4.411764705882353
2019-01-01,11.818181818181818,3.1818181818181817,18.181818181818183,16.818181818181817,29.09090909090909,15.909090909090908,5.0
2020-01-01,7.456140350877193,2.1929824561403506,10.964912280701753,15.789473684210526,35.526315789473685,20.614035087719298,7.456140350877193
2021-01-01,9.124087591240876,0.7299270072992701,5.109489051094891,16.423357664233578,46.35036496350365,18.248175182481752,4.014598540145985
2022-01-01,6.769230769230769,0.0,5.230769230769231,27.384615384615387,45.84615384615385,13.230769230769232,1.5384615384615385
2023-01-01,4.444444444444445,0.0,3.7037037037037033,28.14814814814815,47.03703703703704,14.814814814814813,1.8518518518518516
2024-01-01,3.6923076923076925,0.0,1.5384615384615385,42.15384615384615,45.53846153846154,6.461538461538462,0.6153846153846154
2025-01-01,1.4084507042253522,0.0,2.112676056338028,38.028169014084504,49.29577464788733,9.15492957746479,0.0
