"DATE","TIME PERIOD","HICP - New motor cars (ICP.M.U2.N.071110.4.INX)"
"2016-12-31","2016Dec","100.00"
"2017-01-31","2017Jan","100.54"
"2017-02-28","2017Feb","100.61"
"2017-03-31","2017Mar","100.58"
"2017-04-30","2017Apr","100.71"
"2017-05-31","2017May","100.82"
"2017-06-30","2017Jun","100.91"
"2017-07-31","2017Jul","101.12"
"2017-08-31","2017Aug","101.33"
"2017-09-30","2017Sep","101.34"
"2017-10-31","2017Oct","101.43"
"2017-11-30","2017Nov","101.56"
"2017-12-31","2017Dec","101.74"
"2018-01-31","2018Jan","102.02"
"2018-02-28","2018Feb","102.11"
"2018-03-31","2018Mar","102.15"
"2018-04-30","2018Apr","102.33"
"2018-05-31","2018May","102.62"
"2018-06-30","2018Jun","102.65"
"2018-07-31","2018Jul","103.13"
"2018-08-31","2018Aug","103.38"
"2018-09-30","2018Sep","103.40"
"2018-10-31","2018Oct","103.66"
"2018-11-30","2018Nov","103.90"
"2018-12-31","2018Dec","104.22"
"2019-01-31","2019Jan","104.41"
"2019-02-28","2019Feb","104.45"
"2019-03-31","2019Mar","104.61"
"2019-04-30","2019Apr","104.67"
"2019-05-31","2019May","104.97"
"2019-06-30","2019Jun","105.04"
"2019-07-31","2019Jul","104.94"
"2019-08-31","2019Aug","105.01"
"2019-09-30","2019Sep","105.21"
"2019-10-31","2019Oct","105.43"
"2019-11-30","2019Nov","105.63"
"2019-12-31","2019Dec","106.20"
"2020-01-31","2020Jan","106.48"
"2020-02-29","2020Feb","106.66"
"2020-03-31","2020Mar","106.57"
"2020-04-30","2020Apr","106.68"
"2020-05-31","2020May","106.70"
"2020-06-30","2020Jun","106.76"
"2020-07-31","2020Jul","106.07"
"2020-08-31","2020Aug","106.27"
"2020-09-30","2020Sep","106.52"
"2020-10-31","2020Oct","106.50"
"2020-11-30","2020Nov","106.67"
"2020-12-31","2020Dec","106.82"
"2021-01-31","2021Jan","108.58"
"2021-02-28","2021Feb","108.61"
"2021-03-31","2021Mar","109.16"
"2021-04-30","2021Apr","109.42"
"2021-05-31","2021May","109.64"
"2021-06-30","2021Jun","110.00"
"2021-07-31","2021Jul","110.31"
"2021-08-31","2021Aug","110.31"
"2021-09-30","2021Sep","111.00"
"2021-10-31","2021Oct","111.29"
"2021-11-30","2021Nov","111.81"
"2021-12-31","2021Dec","112.06"
"2022-01-31","2022Jan","113.16"
"2022-02-28","2022Feb","113.91"
"2022-03-31","2022Mar","114.42"
"2022-04-30","2022Apr","115.19"
"2022-05-31","2022May","115.85"
"2022-06-30","2022Jun","116.42"
"2022-07-31","2022Jul","117.50"
"2022-08-31","2022Aug","117.97"
"2022-09-30","2022Sep","118.80"
"2022-10-31","2022Oct","119.44"
"2022-11-30","2022Nov","120.20"
"2022-12-31","2022Dec","121.00"
"2023-01-31","2023Jan","121.66"
"2023-02-28","2023Feb","121.87"
"2023-03-31","2023Mar","122.54"
"2023-04-30","2023Apr","122.74"
"2023-05-31","2023May","122.79"
"2023-06-30","2023Jun","123.01"
"2023-07-31","2023Jul","123.26"
"2023-08-31","2023Aug","123.72"
"2023-09-30","2023Sep","123.78"
"2023-10-31","2023Oct","123.84"
"2023-11-30","2023Nov","123.84"
"2023-12-31","2023Dec","123.98"
"2024-01-31","2024Jan","124.24"
"2024-02-29","2024Feb","124.57"
"2024-03-31","2024Mar","124.77"
"2024-04-30","2024Apr","124.92"
"2024-05-31","2024May","125.12"
"2024-06-30","2024Jun","125.24"
"2024-07-31","2024Jul","125.68"
"2024-08-31","2024Aug","125.78"
"2024-09-30","2024Sep","126.04"
"2024-10-31","2024Oct","126.08"
"2024-11-30","2024Nov","126.28"
"2024-12-31","2024Dec","126.34"
"2025-01-31","2025Jan","127.01"
"2025-02-28","2025Feb","127.00"
"2025-03-31","2025Mar","127.02"
"2025-04-30","2025Apr","127.29"
"2025-05-31","2025May","127.36"
"2025-06-30","2025Jun","127.41"
"2025-07-31","2025Jul","127.63"
"2025-08-31","2025Aug","127.78"
"2025-09-30","2025Sep","127.90"
"2025-10-31","2025Oct","127.71"
"2025-11-30","2025Nov","128.27"
"2025-12-31","2025Dec","128.28"
